,ID,Start time,Completion time,Email,Name,Last modified time,Consent 1,Consent 2,Consent 3,Consent 4,Prolific or Email,Education,AI Knowledge,Age,AI Deceptive,AI Honest,AI Suspicious,AI Weary,AI Harm,AI Confident,AI Security,AI Trustworthy,AI Reliable,AI Trust,AI systems are 1,AI systems are 2,AI systems are 3,AI systems are 4,AI systems are 5,AI systems are 6,AI systems are 7,AI systems are 8,AI systems are 9,AI Weary Post,AI Confident Post,AI Suspicious Post,AI Trust Post,AI Harm Post,AI Honest Post,AI Security Post,AI Deceptive Post,AI Reliable Post,AI Trustworthy Post,AI systems are 1 Post,AI systems are 2 Post,AI systems are 3 Post,AI systems are 4 Post,AI systems are 5 Post,AI systems are 6 Post,AI systems are 7 Post,AI systems are 8 Post,AI systems are 9 Post,AI Feel Post,AI Understand Post,AI Job Post,Condition,Interactive Page Title List,Interactive Section Title List,Interactive Section Index List,Interactive Original Text List,Interactive Updated Text List,Response Section Title List,Response Section Index List,Response Text List,Response Created At List,Response Updated At List,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age_demographic,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
61,70,2026-02-12 15:57:06,2026-02-12 16:19:33,anonymous,,,Yes,Yes,Yes,I agree,697f20f39fb5cfd0bebbe901,High School,Advanced,21,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathetic ,Sensitive,Impersonal,Ignoring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Altruistic,Sensitive,Ignoring,Responsive,Impersonal,Open-Minded,Empathetic ,Patient,Cordial,Reading the definition made me realize how much of what we call 'intelligence' is actually complex statistical probability and pattern recognition. It was eye-opening to see how these models can mimic human-like associations simply by predicting the next word in a sequence.,"I believe that a basic technical understanding is necessary for trust because it helps me recognize the model's limitations and potential for bias. Without knowing how a model is trained, it's impossible to tell if its 'confidence' is based on objective facts or just common societal stereotypes.","I would feel quite uneasy knowing that the AI might use biased correlations, like associating certain names or genders with specific roles, to evaluate my potential. Given that it is difficult to audit why a model makes a specific decision, I would worry about being unfairly dismissed by an algorithm.",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 0, 0, 0, 1, 2, 3]","['""I learned that Large Language Models (LLMs) like BERT are trained through a process of predicting hidden words in large datasets, such as Shakespeare\'s works. This allows the model to determine the statistical probability of the next word in a sequence—for example, predicting \'question\' to complete a famous phrase based on frequency and context.""', '""I learned that Large Language Models (LLMs) like BERT are trained through a process of predicting hidden words in large datasets, such as Shakespeare\'s works. This allows the model to determine the statistical probability of the next word in a sequence—for example, predicting \'question\' to complete a famous phrase based on frequency and context.""', '""I learned that Large Language Models (LLMs) like BERT are trained through a process of predicting hidden words in large datasets, such as Shakespeare\'s works. This allows the model to determine the statistical probability of the next word in a sequence—for example, predicting \'question\' to complete a famous phrase based on frequency and context.""', '""I learned that Large Language Models (LLMs) like BERT are trained through a process of predicting hidden words in large datasets, such as Shakespeare\'s works. This allows the model to determine the statistical probability of the next word in a sequence—for example, predicting \'question\' to complete a famous phrase based on frequency and context.""', 'I learned that models like BERT identify regional cultural patterns by assigning probabilities to words based on the context of a sentence. This allows the AI to ""know"" a location by predicting that someone in Texas might buy cattle, while someone in New York would more likely buy art.', 'I learned that language models can internalize and amplify harmful societal stereotypes, such as associating specific genders or religions with certain jobs or behaviors. Because it is difficult to understand exactly why a model produces a specific output, using these systems for high-stakes decisions like hiring or credit applications can lead to serious discrimination.', 'I learned that while approaches like the Zari model attempt to reduce bias by training on gender-swapped data, completely removing ingrained stereotypes remains a complex mathematical and linguistic challenge. In the future, we may be able to rely on more capable models that can explain their own reasoning or express uncertainty rather than defaulting to biased assumptions.']","['2026-02-12 15:06:32.391208', '2026-02-12 15:06:32.463393', '2026-02-12 15:06:36.98121', '2026-02-12 15:07:13.168025', '2026-02-12 15:08:38.730312', '2026-02-12 15:10:19.656286', '2026-02-12 15:13:09.649582']","['2026-02-12 15:06:32.391208', '2026-02-12 15:06:32.463393', '2026-02-12 15:06:36.98121', '2026-02-12 15:07:13.168025', '2026-02-12 15:08:38.730312', '2026-02-12 15:10:19.656286', '2026-02-12 15:13:09.649582']",698de97104fc54e2b8efbab9,697f20f39fb5cfd0bebbe901,APPROVED,Not Applicable,2026-02-12T14:57:02.704000Z,2026-02-12T15:19:54.545000Z,2026-03-05T00:08:27.880000Z,2026-02-12T15:19:55.413416Z,1372.0,784GX1R35X,11.0,Man (including Trans Male/Trans Man),East Asian,20,Male,Asian,India,India,India,Telugu,Yes,Other
62,71,2026-02-12 16:08:56,2026-02-12 16:20:27,anonymous,,,Yes,Yes,Yes,I agree,697a75f110de3fc445d250fc,Graduate Professional Degree,Advanced,32,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Apathetic,Insensitive,Impersonal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Self-Serving,Insensitive,Ignoring,Indifferent,Impersonal,Open-Minded,Apathetic,Patient,Cordial,I think the true rule to tell if an LLM is or not to be trusted and the other affirmations above are relative of what organization/company developed and trained them. Each have its own agenda so no model have the same judgment and bias.,I think i need to understand the company/organization that developed/trained it in order to trust instead.,"If the AI is not biased, i'm fine with it.",Interactive,[],[],[],[],[],"['Introduction to Language Models', ""What's in a Name? Learned Associations"", 'Cattle or Clothes? Regional Patterns', 'How Can We Fix This?']","[0, 2, 1, 3]","['LLMs works mostly by predicting what the next word should be, not creating new concepts from scratch.', ""LLMs can output offensive and discriminatory text if the trained data isn't properly curated."", 'LLMs like BERT needs to be trained with updated data to be able to generate meaningful text about a subject.', 'In Zari case the trained data was curated by the researches to be debiased to provide impartial yet accurate responses.']","['2026-02-12 15:11:34.53104', '2026-02-12 15:14:22.525159', '2026-02-12 15:12:51.183196', '2026-02-12 15:15:35.504454']","['2026-02-12 15:11:34.53104', '2026-02-12 15:14:22.525159', '2026-02-12 15:12:51.183196', '2026-02-12 15:15:35.504454']",698decfbf1c52ed35fecc95e,697a75f110de3fc445d250fc,APPROVED,Not Applicable,2026-02-12T15:08:43.414000Z,2026-02-12T15:20:38.622000Z,2026-03-05T00:02:13.283000Z,2026-02-12T15:20:40.237670Z,716.0,TXL0TMNCXU,6.0,Man (including Trans Male/Trans Man),White,32,Male,White,Brazil,Brazil,Brazil,Portuguese,Yes,Unemployed (and job seeking)
63,72,2026-02-12 15:56:18,2026-02-12 16:21:04,anonymous,,,Yes,Yes,Yes,I agree,682c2ae4452d98d171391d2d,Bachelor,Conceptual understanding,42,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Apathetic,Insensitive,Impersonal,Ignoring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Altruistic,Sensitive,Caring,Responsive,Impersonal,Open-Minded,Apathetic,Patient,Cordial,"I felt intrigued and more cautious. As someone with an IT background, I understand the technical mechanics, but seeing how easily a model like BERT can replicate social biases (like the Texas/New York or gender examples) makes me realize the heavy responsibility of developers to ensure fairness","Yes, absolutely. For me, trust is built on transparency",I would feel skeptical and concerned,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['I learned that language models like BERT use massive amounts of data to predict the most likely word to complete a sentence based on statistical probability ', ""I learn that BERT predictions change based on location, it associates Texas with items like 'cattle' and New York with 'clothes' based on the statistical pattern it found in its training data"", 'I learn that while BERT is excellent at predicting text, it also replicates social biases found in its training data, making its use in automated decision making potentially discriminatory and difficult to audit', ""The transition from forcing a model to give a biased answer to allowing it to express 'uncertainty' is a very practical solution. I think transparency and human in the loop controls are better than hidden algorithmic assumptions that could lead to discrimination ""]","['2026-02-12 15:07:54.174062', '2026-02-12 15:10:05.620802', '2026-02-12 15:11:58.009492', '2026-02-12 15:14:33.789815']","['2026-02-12 15:07:54.174062', '2026-02-12 15:10:05.620802', '2026-02-12 15:11:58.009492', '2026-02-12 15:14:33.789815']",698de92a1abf8b7f760cf788,682c2ae4452d98d171391d2d,APPROVED,Not Applicable,2026-02-12T14:56:11.183000Z,2026-02-12T15:21:36.278000Z,2026-03-05T00:09:51.516000Z,2026-02-12T15:21:37.033737Z,1526.0,GKWNJEWUN8,582.0,Man (including Trans Male/Trans Man),South East Asian,42,Male,Asian,Indonesia,Indonesia,Indonesia,Indonesian,No,Full-Time
66,76,2026-02-12 16:01:36,2026-02-12 16:23:52,anonymous,,,Yes,Yes,Yes,I agree,698a466b5283fb0016d3c3de,High School,Beginner knowledge,19,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Apathetic,Insensitive,Impersonal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Impatient,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Self-Serving,Insensitive,Caring,Responsive,Impersonal,Open-Minded,Apathetic,Impatient,Cordial,I guess I just felt curious,Yes,"I think I would feel okay, as long as it's the right program to do it",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['I learned how language models help computers create stories or web pages. ', ""We learned what BERT's vocabulary contains and how it fills in the hidden words "", 'I learned that BERT can have a problem with associations, that it tends to discriminate ', 'I learned about a version of BERT called Zari and how it works compared to BERT']","['2026-02-12 15:08:09.5835', '2026-02-12 15:10:45.531684', '2026-02-12 15:13:51.139477', '2026-02-12 15:15:57.59345']","['2026-02-12 15:08:09.5835', '2026-02-12 15:10:45.531684', '2026-02-12 15:13:51.139477', '2026-02-12 15:15:57.59345']",698deb2aa1ede98c74cb56b8,698a466b5283fb0016d3c3de,APPROVED,Not Applicable,2026-02-12T15:01:29.826000Z,2026-02-12T15:24:18.593000Z,2026-03-05T00:01:43.901000Z,2026-02-12T15:24:19.441324Z,1369.0,XCR3G985CQ,1.0,Woman (including Trans Female/Trans Woman),White,19,Female,White,Romania,Romania,Romania,Romanian,Yes,Unemployed (and job seeking)
67,77,2026-02-12 15:55:56,2026-02-12 16:24:09,anonymous,,,Yes,Yes,Yes,I agree,69809013aa657927169c5b0f,Bachelor,Conceptual understanding,23,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Apathetic,Insensitive,Personal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Self-Serving,Insensitive,Ignoring,Responsive,Impersonal,Open-Minded,Apathetic,Patient,Cordial,"it felt informative, and I appreciate knowledge.","Yes, it gives the sense of trust only if I know how it works and what limits do they have.",I won't mind if it was explicitly deployed to be fair to all genders and races.,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['I learned how LLMs became so sophisticated tool that we could rely on to do multiple tasks, such as writing stories, codes in different fields, create images, or anticipate words. ', 'how BERT make prediction is based on the probabilities they assign to each possible word.', 'how BERT  assumptions are most likely based on stereotypes', 'Zari is a better straight forward approach than BERT to overcome the problem of stereotyping predictions.']","['2026-02-12 15:04:54.049426', '2026-02-12 15:11:26.605221', '2026-02-12 15:14:36.122142', '2026-02-12 15:18:03.761728']","['2026-02-12 15:04:54.049426', '2026-02-12 15:11:26.605221', '2026-02-12 15:14:36.122142', '2026-02-12 15:18:03.761728']",698de885a65f3529a34f3002,69809013aa657927169c5b0f,APPROVED,Not Applicable,2026-02-12T14:55:52.041000Z,2026-02-12T15:24:33.450000Z,2026-03-05T00:09:20.379000Z,2026-02-12T15:24:34.450273Z,1722.0,ISO01PUE0W,29.0,Woman (including Trans Female/Trans Woman),Middle Eastern,22,Female,White,Egypt,Egypt,Egypt,Arabic,No,Part-Time
68,78,2026-02-12 16:10:21,2026-02-12 16:24:55,anonymous,,,Yes,Yes,Yes,I agree,6981ec7f9c767e959efcda59,High School,Conceptual understanding,25,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Empathetic ,Sensitive,Impersonal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Altruistic,Sensitive,Caring,Responsive,Personal,Open-Minded,Empathetic ,Patient,Cordial,"I felt more confident about AI because I already knew about the bias it has, but I understand that this is a barrier developers are seeking to break by making the AI itself self-regulatory","Yes, Yes, it is necessary to know that the model was properly trained and respects regional ethics and morals.","Currently, I would be wary, as I understand that AI systems are still biased.",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","[""I've learned that the AI system determines the most appropriate next response, but the most appropriate response isn't always the correct one"", 'It can know the probability of something regional without generalizing the phrase to other places', ""We've learned that AI models can be biased with prejudiced concepts, simply by reproducing what the majority does or the way they act."", 'I liked what I learned. I hope that in the future, AI models can break this barrier of gender stereotypes and the prejudices perpetuated in narratives and speech']","['2026-02-12 15:15:17.405397', '2026-02-12 15:17:05.389241', '2026-02-12 15:18:40.899601', '2026-02-12 15:20:37.727843']","['2026-02-12 15:15:17.405397', '2026-02-12 15:17:05.389241', '2026-02-12 15:18:40.899601', '2026-02-12 15:20:37.727843']",698ded570e9b265367c19aa5,6981ec7f9c767e959efcda59,APPROVED,Not Applicable,2026-02-12T15:10:15.507000Z,2026-02-12T15:25:29.975000Z,2026-03-05T00:08:37.859000Z,2026-02-12T15:25:30.989658Z,915.0,38SBN9QBMA,23.0,Woman (including Trans Female/Trans Woman),Latino/Hispanic,25,Female,White,Brazil,Brazil,Brazil,Portuguese,Yes,Part-Time
70,82,2026-02-12 16:12:28,2026-02-12 16:27:06,anonymous,,,Yes,Yes,Yes,I agree,5b77869d338a9300015468cf,Graduate Professional Degree,Advanced,27,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Apathetic,Insensitive,Personal,Ignoring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Self-Serving,Sensitive,Ignoring,Responsive,Personal,Open-Minded,Empathetic ,Patient,Cordial,"I feel like people who have less understanding of AI and computer science wouldnt understand this definition. I really liked the explanation of the biases and how to reduce it and found it very interesting, however it didnt put as much emphasis as I would have liked in the fact that models wont probably ever remove every bias","No, but understanding the training data used makes it a bit easier to trust the results","I don't like it, and I know it already is being used a lot, and while I understand that its hard to filter through a lot of applications, it simply feels too impersonal and easy to fall into a bias if the model wasn't trained correctly to avoid them",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['That the model is trained million of times and that it can usually predict with the most expected result however might sometimes put another similar response', 'That it can fill hidden words by chosing the ones with probabilities according to the context, for example places according to an internal probability the model uses', 'That BERT might have learned data too specific to a group of people or dataset, isnt trivial to adjust for this mistake, and that might be harmful to deploy a model that might give responses that perpetuate steoreotypes ', 'I think its very interesting that its possible to reduce the bias, however we might still have some biases and its very hard to reduce it completely. For example, while the model can be trained to identify more cases for example of types of relationships, it will likely still exclude the most unusual types and might still hold a negative bias. Also, it implies that its necessary to retrain models making them bigger, and longer to train, and it will probably reach a point where developers of models will simply choose what stereotypes to remove, but still leave many important ones due to monetary costs/time']","['2026-02-12 15:15:03.630233', '2026-02-12 15:17:36.797606', '2026-02-12 15:19:43.691204', '2026-02-12 15:22:52.099175']","['2026-02-12 15:15:03.630233', '2026-02-12 15:17:36.797606', '2026-02-12 15:19:43.691204', '2026-02-12 15:22:52.099175']",698dedc17a990e9d2c3dca72,5b77869d338a9300015468cf,APPROVED,Not Applicable,2026-02-12T15:12:25.255000Z,2026-02-12T15:27:41.863000Z,2026-03-05T00:10:07.170000Z,2026-02-12T15:27:42.717281Z,917.0,CLGW18FOKB,1099.0,Non-binary (would like to give more detail),Latino/Hispanic,27,Female,White,Chile,Chile,Chile,Spanish,Yes,Full-Time
71,84,2026-02-12 16:03:08,2026-02-12 16:27:37,anonymous,,,Yes,Yes,Yes,I agree,67da488436f9ec390284e999,Graduate Professional Degree,Conceptual understanding,26,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Apathetic,Insensitive,Personal,Ignoring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Self-Serving,Insensitive,Ignoring,Indifferent,Impersonal,Open-Minded,Apathetic,Impatient,Cordial,"I feel more educated; I hadn't even considered those types of things. I have had friends getting rejected of a job application almost as soon as they submited so it's crazy to think that it really could have been, their gender, name or ethnicity.","Yes, it is highly important to know how it works that way I can understand what influences the way it crafts it's answers.","Knowing what I know now I would be more upset, my line of work has more of the opposite gender working on it, so it could be very likely I would get rejected just because of my gender.",Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['Some of the language models are trained by making them learn pattern recognition of the writing of a specific author, in this case it was a model called BERT learning about Shakespeare.', 'How this pattern recognition applies into also showing the probability of certain words to appear depending on the context, in this case, things that different groups like to buy.', ""Since the pattern recognition is fueled by what is more likely or more represented in the situation at hand, the AI can then learn to make choices based on assumptions that can be a reflection of sexism, racism, xenophobia, or really any type of discrimination. This is also quite hard to determine since it isn't yet fully understood how it works, and thus it just amplifies this type of behaviors without being able to know exactly how to change it. "", 'Although newer models have been trained swapping the genders and successfully making the probability more equal of the usage of he and she for some titles like doctors, this is still not overriding the assumptions with names, and although there are some ways to kind of work around it, it heavily depends on the language, and thus some languages could be easier to change the assumptions than others. ']","['2026-02-12 15:07:56.770045', '2026-02-12 15:10:35.698492', '2026-02-12 15:16:23.548054', '2026-02-12 15:20:35.761599']","['2026-02-12 15:07:56.770045', '2026-02-12 15:10:35.698492', '2026-02-12 15:16:23.548054', '2026-02-12 15:20:35.761599']",698deba3d11fa05a4a688bc2,67da488436f9ec390284e999,APPROVED,Not Applicable,2026-02-12T15:02:59.903000Z,2026-02-12T15:27:51.031000Z,2026-03-05T00:10:06.760000Z,2026-02-12T15:27:51.886335Z,1492.0,W5BDOD61XF,331.0,Non-binary (would like to give more detail),Latino/Hispanic,26,Female,Other,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
72,85,2026-02-12 16:23:06,2026-02-12 16:27:59,anonymous,,,Yes,Yes,Yes,I agree,66d7fc4e8491c1492c9fa150,Graduate Professional Degree,Conceptual understanding,38,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Apathetic,Sensitive,Impersonal,Caring,Self-Serving,Cordial,Indifferent,Open-Minded,Patient,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Self-Serving,Insensitive,Caring,Indifferent,Impersonal,Open-Minded,Empathetic ,Patient,Cordial,Relief ,Yes,Good because I would get a response right away ,Interactive,[],[],[],[],[],[],[],[],[],[],698e336dd8feee7cfcad19a2,66d7fc4e8491c1492c9fa150,APPROVED,Not Applicable,2026-02-12T20:09:38.823000Z,2026-02-12T20:20:17.980000Z,2026-03-05T00:02:15.362000Z,2026-02-12T20:20:18.880233Z,640.0,NOCODE,17.0,Rather not say,Black/African American,38,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Full-Time
73,86,2026-02-12 16:10:17,2026-02-12 16:29:14,anonymous,,,Yes,Yes,Yes,I agree,66c494265032c02a7b5ebdbc,Graduate Professional Degree,Conceptual understanding,36,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Apathetic,Insensitive,Impersonal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Self-Serving,Insensitive,Ignoring,Responsive,Impersonal,Open-Minded,Apathetic,Patient,Cordial,Just ok,Maybe,Oh goodness already panic ,Interactive,[],[],[],[],[],[],[],[],[],[],698ded484ed0923a5119dbf4,66c494265032c02a7b5ebdbc,APPROVED,Not Applicable,2026-02-12T15:10:10.098000Z,2026-02-12T15:30:35.844000Z,2026-03-05T00:07:49.904000Z,2026-02-12T15:30:36.673111Z,1226.0,VAWP3PEUIN,88.0,Non-binary (would like to give more detail),African,36,Female,Black,South Africa,South Africa,South Africa,Other,No,Other
75,88,2026-02-12 16:01:05,2026-02-12 16:30:57,anonymous,,,Yes,Yes,No,I agree,698b0fea7d706ea409fcd540,Bachelor,Beginner knowledge,18,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Apathetic,Insensitive,Personal,Ignoring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Self-Serving,Insensitive,Caring,Responsive,Impersonal,Open-Minded,Apathetic,Patient,Cordial,It was good,"I think when using AI, you need to at least undestand the functionality of that expecific model.",I'd prefer a human to do it.,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","[""By what have I understood, this explains how AI models are trained in order to answer to a prompt based on it's database. As BERT was trained using Shakespear, he will follow the sentence with something related to the autor."", 'It explains how AI models build their ""library"" and how they give the impression of ""knowing something"", when in reality, it assigns a probability to a word when given the prompt, thus why it associated New York to books.', 'By associating words to certain prompts, as explained before, it opens the probability of problematic answer. ', 'The solution to prevent problematic sentences by association, is to train AI models similiar words or pronouns. If the sentence includes the word ""christian"" the AI must also be trained with ""muslim"", using the same sentence, which could prevent further ""unintensional"" descrimination.']","['2026-02-12 15:12:13.278035', '2026-02-12 15:16:27.182746', '2026-02-12 15:21:30.211836', '2026-02-12 15:25:14.664258']","['2026-02-12 15:12:13.278035', '2026-02-12 15:16:27.182746', '2026-02-12 15:21:30.211836', '2026-02-12 15:25:14.664258']",698deb29a71288787ba7e544,698b0fea7d706ea409fcd540,APPROVED,Not Applicable,2026-02-12T15:00:57.909000Z,2026-02-12T15:31:05.883000Z,2026-03-05T00:08:16.878000Z,2026-02-12T15:31:06.810984Z,1808.0,NB1C439RHY,1.0,Man (including Trans Male/Trans Man),Mixed,18,Male,Mixed,Brazil,Brazil,Brazil,Portuguese,Yes,Unemployed (and job seeking)
76,89,2026-02-12 16:16:15,2026-02-12 16:31:09,anonymous,,,Yes,Yes,Yes,I agree,67acbcf37bce4a2aa0f088d4,High School,Conceptual understanding,33,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Altruistic,Sensitive,Caring,Responsive,Personal,Open-Minded,Empathetic ,Patient,Cordial,Informed,Not really,I would feel somewhat ok about it ,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['The AI model may guess the correct answer most of the time, it may give a wrong answer sometimes though.', 'That Bert assigns probabilities to each words use in any given sentence.', 'The system may produce biased outputs', 'This new AI model ‘Zari’ is being trained to better judge gender biases.']","['2026-02-12 15:22:18.209287', '2026-02-12 15:24:38.39086', '2026-02-12 15:26:29.941636', '2026-02-12 15:28:37.431412']","['2026-02-12 15:22:18.209287', '2026-02-12 15:24:38.39086', '2026-02-12 15:26:29.941636', '2026-02-12 15:28:37.431412']",698deeb7df5870074ab121bc,67acbcf37bce4a2aa0f088d4,APPROVED,Not Applicable,2026-02-12T15:16:12.541000Z,2026-02-12T15:31:48.164000Z,2026-03-05T00:01:20.028000Z,2026-02-12T15:31:48.949875Z,936.0,YB42PAXDBO,1179.0,Woman (including Trans Female/Trans Woman),Caribbean,33,Female,Black,Jamaica,Canada,Canada,English,No,Part-Time
77,90,2026-02-12 16:16:34,2026-02-12 16:31:44,anonymous,,,Yes,Yes,Yes,I agree,66cec305165d52b18aab0b62,Master,Advanced,34,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Empathetic ,Sensitive,Personal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Self-Serving,Insensitive,Caring,Responsive,Personal,Judgmental,Apathetic,Patient,Cordial,I understood AI to a depth.,yes,I will not be very comfortable with it.,Interactive,[],[],[],[],[],"['Introduction to Language Models', 'Cattle or Clothes? Regional Patterns', ""What's in a Name? Learned Associations"", 'How Can We Fix This?']","[0, 1, 2, 3]","['AI systems learn from the data it was feed on', 'AI systems responds based on the regional requirements', 'AI systems make assumptions based on the amount of data it was feed on.', 'I learned about how AI systems were trained gradually with time.']","['2026-02-12 15:21:19.446158', '2026-02-12 15:23:07.994613', '2026-02-12 15:26:43.850794', '2026-02-12 15:29:05.587729']","['2026-02-12 15:21:19.446158', '2026-02-12 15:23:07.994613', '2026-02-12 15:26:43.850794', '2026-02-12 15:29:05.587729']",698deeac250bc1fa4780c82f,66cec305165d52b18aab0b62,APPROVED,Not Applicable,2026-02-12T15:16:28.417000Z,2026-02-12T15:32:09.119000Z,2026-03-05T00:08:03.782000Z,2026-02-12T15:32:10.774231Z,941.0,8BZLLBHSMW,594.0,Woman (including Trans Female/Trans Woman),South East Asian,34,Female,Asian,India,India,India,English,No,Full-Time
